map,id,register_no,name,date_iso,date_display,date_confidence,lat,lng,coord_precision,type,layer,summary,result,native_groups,sources,notes
bodega-ross-corridor,kuskov-s-rac-letters-to-the-sf-commandant,,Kuskov's RAC Letters to the SF Commandant,1814-06,June 1814,month,38.514,-123.24,place,event,russian,"Ivan Kuskov, RAC commercial councillor at Ross, writes directly to the SF commandant ""in the name of the Honorable Russian-American Company under special protection of His Majesty the Emperor of all the Russias,"" sending agent Slobodchikov to settle accounts and pressing for the return of captured Kodiak Aleuts.",Ross corresponds with SF as one sovereign to another,,C-A 12 C431 / C433 (Jun 1814).,
bodega-ross-corridor,spanish-missions-supply-kuskov-at-fort-ross,,Spanish Missions Supply Kuskov at Fort Ross,1816,1816,year,38.51,-123.248,place,event,russian,"The Spanish missions supplying Kuskov's Russian colony — Spain's own establishments provisioning the foreign outpost on the ground it claimed. The open coast as routine economic fact, running in Spain's disfavor.",Spain provisions the colony it was ordered to uproot,,C-A 55 Doc 243 (1816).,
bodega-ross-corridor,fort-ross-abandonment-resolved,,Fort Ross Abandonment Resolved,1841,1841,year,38.516,-123.238,place,event,russian,"The RAC Main Board resolves to abandon Ross and ""sell or barter for wheat to the inhabitants of San Francisco."" The otter gone, Ross is liquidated — the economic close of the arc that opened with the resource.","Russia leaves — Ross sold to Sutter, a promoter of the US invasion",,"Fort Ross AVPRI, 1841 abandonment resolution (via Gibson & Istomin).",
bodega-ross-corridor,rac-parlamentario-podushkin-on-the-chirikoff-at,,RAC Parlamentario — Podushkin on the Chirikoff at Monterey,1817,1817,year,36.605,-121.895,place,event,russian,"Baranov, from Novo-Arkhangelsk, protests the ""insults to the Russian Flag and the capture and keeping in cruel bondage of Russians… in the waters and the coasts of California,"" invokes the 1812 treaty, and sends Lt. Podushkin as a parlamentario aboard the Chirikoff to Monterey. Russia negotiating as a commercial sovereign on Spain's claimed coast.",Russia treats with Spain as an equal power on the California coast,,"C-A 13 Doc 20 (Baranov / Podushkin, 1817).",
bodega-ross-corridor,yanovsky-s-rac-trade-overture,,Yanovsky's RAC Trade Overture,1820,ca. 1820,circa,38.508,-123.244,place,event,russian,"RAC chief manager Semyon Yanovsky proposes a joint, equal-shares otter-hunt and open commerce (via Khlebnikov and the Madrid embassy; the Ilmena to supply Ross). Solá replies he cannot grant otter-hunting — only the Viceroy can. The third volume of one continuous Russo-Spanish negotiation.",Russia again negotiates as a commercial sovereign — Spain defers to Mexico City,,"C-A 55 Docs 323–324 (Yanovsky / Solá, ~1820).",
bodega-ross-corridor,the-suvorov-at-sf-the-rac-proclamation-to-califo,,The Suvorov at SF + the RAC Proclamation to California,1815,August 1815 (proclamation dated 1811),circa,37.796,-122.402,place,event,russian,"The RAC ship Suvorov (Lazarev) calls at San Francisco carrying a formal RAC directors' overture ""to the noble and honoured Spanish inhabitants of California,"" invoking Russo-Spanish friendship, the 1812 treaty, and Rezanov's 1806 visit — the institutional Russian demand for the California provision trade, arriving by ship.","The RAC's formal trade-opening request, delivered to SF",,"C-A 12 C478 + C479 (Suvorov 1815; passport-proclamation St. Petersburg, 12 Jul 1811).",
bodega-ross-corridor,rezanov-arrives-on-juno,,Rezanov Arrives on Juno,1806-04,April 1806,month,37.787,-122.462,place,event,russian,"Nikolai Rezanov — Imperial Chamberlain, RAC shareholder, diplomat. Arrives at SF. Concepción Argüello courtship. Intelligence gathering on Spanish defenses. First Russian official at SF.",Russia assesses Spanish California firsthand,,Bancroft II; Gibson & Istomin 2014.,
bodega-ross-corridor,coast-miwok-intelligence-to-sal,,Coast Miwok Intelligence to Sal,1792-10-08,"October 8, 1792",exact,37.79,-122.457,place,event,indigenous,"Coast Miwok informant tells Commandant Sal two ships at Bodega — soldiers ""dressed like ours turned inside out."" Earliest warning of foreign presence, 3 weeks before diplomatic intelligence through official channels.",Indigenous networks faster than imperial intelligence,,"C-A 55, vi.67–68.",
bodega-ross-corridor,coast-miwok-deceive-goycoechea,,Coast Miwok Deceive Goycoechea,1793-08,August 1793,month,38.1,-122.85,place,event,indigenous,"Coast Miwok tell Goycoechea the eastern shores are ""impassable"" — he takes the harder western route via Marin headlands. Later admitted he was ""deceived."" Information control: indigenous peoples directing Spanish military movements.",Indigenous information warfare — Spain deceived,,Wagner 1931:342–345.,
bodega-ross-corridor,coast-miwok-calibrated-diplomacy-at-bodega,,Coast Miwok Calibrated Diplomacy at Bodega,1793-08,August 1793,month,38.335,-123.05,place,event,indigenous,"Coast Miwok ""prepared to give us battle"" — choose instead to present pinole and fruit. Not submission; calibrated response. They evaluated the Spanish party and chose diplomacy.",Military capability held in reserve — diplomacy chosen,,Wagner 1931:342–345.,
bodega-ross-corridor,coast-miwok-bilingual-intermediaries-at-tomales,,Coast Miwok Bilingual Intermediaries at Tomales,1793-10-20,"October 20, 1793",exact,38.228,-122.933,place,event,indigenous,"Coast Miwok calling ""Amico,"" speaking Spanish, pointing up lagoon repeating ""Spaniard."" Bilingual intermediaries positioning between British and Spanish empires. They know both powers and broker between them.",Trilingual positioning between empires,,Menzies 1924:302.,
bodega-ross-corridor,guirmenes-intel-on-bodega-keep-this-indian-happy,,"Guirmenes Intel on Bodega — ""Keep This Indian Happy""",1796,1796,year,38.34,-123.038,place,event,indigenous,"Indigenous informant (Guirmenes) reports no foreign ship at Bodega for 2 years. Governor orders: ""previene se tenga á ese indio contento"" (keep this Indian happy). Indigenous surveillance network sustained across years — Spain depends on it.",Spain pays for indigenous intelligence,,"C-A 24, n80, pp. 90–3.",
bodega-ross-corridor,chief-valli-ela-requests-russian-flag,,Chief Vallí-éla Requests Russian Flag,1818-09,September 1818,month,38.337,-123.045,place,event,indigenous,"Chief Vallí-éla of Bodega Miwok requests Russian protection and asks Golovnin for a Russian flag. ""Very glad to have Russian neighbors."" Three independent accounts (Golovnin, Matiushkin, Lütke). The indigenous chief chooses his empire.",Indigenous imperial choice — requests Russian protection,,Golovnin 1979:165 via Farris 1998:6; AVPRI deep read lines 176–190.,
bodega-ross-corridor,menzies-lands-at-tomales-bay,,Menzies Lands at Tomales Bay,1793-10-20,"October 20, 1793",exact,38.225,-122.935,place,event,foreign,"Menzies lands from Vancouver's ship. Finds cross made from cask stave, horse tracks from Goycoechea's expedition. Coast Miwok calling ""Amico,"" speaking Spanish, pointing up lagoon repeating ""Spaniard."" British find Spanish traces in territory Spain couldn't hold.",British find evidence of failed Spanish expedition,,Menzies 1924:301–304.,
bodega-ross-corridor,hms-raccoon-at-san-francisco,,HMS Raccoon at San Francisco,1814-03,March 1814,month,37.785,-122.46,place,event,foreign,"British warship from Columbia River. HMS Raccoon had seized Fort Astoria Dec 1813. Needed gunpowder. Crew deserting to Spanish protection as ""Roman Catholics."" Written in English in the archive.",British warship uses SF as supply port — War of 1812 reaches Pacific,,C-A 12; ca12-russian-california-documents.,
bodega-ross-corridor,kotzebue-visits-on-rurik,,Kotzebue Visits on Rurik,1816-10,October 1816,month,37.795,-122.448,place,event,foreign,Otto von Kotzebue arrives at SF on scientific circumnavigation. Spain demands Ross abandonment. Diplomatic failure — Russia ignores the demand.,Spanish diplomatic protest — Russia ignores it,,"Gibson & Istomin, Doc 32.",
bodega-ross-corridor,colnett-s-argonaut-at-bodega,,Colnett's Argonaut at Bodega,1790-07,July 1790,month,38.325,-123.055,place,event,foreign,"British ship takes refuge during storm — cuts spars, makes repairs. Later misidentified by Spanish as active English threat. Ghost presence that haunted Spanish intelligence for years.",,,Wagner 1931:337–338.,
bodega-ross-corridor,sola-to-viceroy-san-rafael-russian-threat,,Solá to Viceroy: San Rafael + Russian Threat,1818-04,April 1818,month,37.975,-122.53,place,event,foreign,Same letter contains Mission San Rafael founding AND Russian threat warning. Dual purpose: health + strategic. Proves mission expansion was explicitly about territorial defense against Russia.,Missions as counter-Russian strategy,,sola-to-viceroy-april-1818.,
bodega-ross-corridor,colony-ross,,Colony Ross (Russian benchmark),,"founded 1812, sold 1841",exact,38.5144,-123.2444,exact,event,russian,"The measuring stick. A single Russian-American Company outpost, founded September 1812 with about 95 Russians and 80 Alaska Native hunters. A 1813 Spanish intelligence report credited it with about 13 mounted cannon; Moraga's 1814 eyewitness reconnaissance counted 8 cannon in two corner towers with embrasures for far more. Either figure matches or exceeds the serviceable artillery of the entire San Francisco defense in the same decade.","One Russian fort ≈ the principal Spanish fort, in guns and in men",,"Presidio garrison & artillery register (vault), section 0","Both the Ross figure (a Spanish estimate) and the SF figure (a Spanish self-inventory) are Spanish-sourced, so the comparison is internally consistent. The defensible claim is order-of-magnitude parity, not a precise gun-for-gun ratio."
bodega-ross-corridor,ref-presidio-of-san-francisco,,Presidio of San Francisco,,,circa,37.7862,-122.4572,exact,presidio,refs,"1776. Northernmost military post. $1,400 total investment by 1793. Garrison: ~35 men.",,,,
bodega-ross-corridor,ref-fort-san-joaquin-castillo-de-sf,,Fort San Joaquín (Castillo de SF),,,circa,37.8107,-122.477,exact,presidio,refs,"1794. Battery guarding the Golden Gate narrows. 1 cannon (burst 1792), 8 by 1793, 6 functional by 1820. Unmanned by 1800.",,,,
bodega-ross-corridor,ref-mission-san-rafael,,Mission San Rafael,,,circa,37.9735,-122.5311,exact,mission,refs,1817. Anti-Russian buffer. 83 days after Hagemeister treaty. Founded without a boat.,,,,
bodega-ross-corridor,bodega-survey-1775,,Bodega y Quadra discovers and charts the port,1775-10,October 1775,month,38.31,-123.045,exact,event,spanish,"The schooner Sonora under Bodega y Quadra and pilot Francisco Mourelle charts the port on the return leg of the 1775 voyage. Their manuscript plano, with keyed points and soundings, is the founding document of the Spanish claim. The chart is in this site's gallery.",The port charted and claimed,,"Plano del Puerto del Capitan Bodega (LOC, gallery item loc-bq05); resurveyed 1793 (Cartas esfericas sheet 8)",
bodega-ross-corridor,matute-attempt-1793,,The 1793 occupation attempt fails,1793,1793,year,38.317,-123.053,place,event,spanish,"The year Spain finally moved to occupy Bodega: Matute's establishment attempt, mounted amid the Nootka crisis, was abandoned. The port Spain had claimed in 1775 stayed empty, and the re-survey of the same year became its monument. The full argument is the subject of the companion article.",Spain never occupied the port it discovered,,"C-A 55 (Matute dossier); the 1793 re-survey, Cartas esfericas sheet 8 (gallery)",Deliberately summary-level here; the article carries the argument and the full citations.
bodega-ross-corridor,aleut-fleet-1811,,The 1811 Aleut otter fleet in San Francisco Bay,1811,1811,year,37.85,-122.4,area,event,russian,"Russian-American Company hunting reaches inside the bay itself: an Aleut baidarka fleet works San Francisco Bay for otter in 1811, the year before Ross was founded. Spain's inner waters were already a Russian hunting ground.",,Unangan/Alutiiq (Aleut) hunters,Prov. St. Pap. (C-A 12),
bodega-ross-corridor,vallejo-informe-1833,,Vallejo's reconnaissance of Ross (informe reservado),1833-05-05,5 May 1833,exact,38.514,-123.244,exact,event,russian,"M. G. Vallejo's confidential report on Ross: about 300 people, a wooden stockade, cannon in the towers, and Russian-American Company intelligence gathered through Wrangel's circle. The fullest Mexican-era picture of the colony, twenty years in.",,,"St. Pap., Missions & Colonization (C-A 53), Doc 45 (n97–n111)",
bodega-ross-corridor,ross-sale-1841,,Ross sold to Sutter; the Russians withdraw,1841-12,December 1841,month,38.514,-123.244,exact,event,russian,"The Russian-American Company sells the Ross establishment to John Sutter and withdraws from California, ending the colony the Spanish had watched for thirty years without ever dislodging.","The Russian era ends by sale, not by force",,Duflot de Mofras (1844) records the post-sale coast; cf. the borderlands map's abandonment-resolved pin,
bodega-ross-corridor,rbodega-1-presidio-of-san-francisco,,Presidio of San Francisco,,,circa,37.7862,-122.4572,area,expedition-leg,overland,"October 3, 1810. Governor orders Moraga to investigate Russian fur-hunting at Bodega Bay. 10-day reconnaissance.",,,"Langelier & Rosen, fn. 52: 'Gabriel Moraga's Diary of his Expedition to the Port of Bodega, Oct. 3, 1810, Prov. St. Pap., XII, 276–79.' Diary survives in the Archives of California.",
bodega-ross-corridor,rbodega-2-bay-crossing-to-marin,,Bay Crossing — to Marin,,,circa,37.81,-122.427,area,crossing,overland,Crossed the bay from the Presidio to the Marin shore. Method uncertain — possibly native balsas or a borrowed vessel.,,,SF Presidio had limited boat access. See boat-problem article.,
bodega-ross-corridor,rbodega-3-san-rafael-area,,San Rafael Area,,,circa,37.9735,-122.5311,area,expedition-leg,overland,"Passed through future site of Mission San Rafael. Bancroft: 'The site was probably selected on the advice of Moraga, who had several times passed it on his way to and from Bodega.'",,,"Bancroft, II, p. 330.",
bodega-ross-corridor,rbodega-4-novato-olompali-area,,Novato / Olompali Area,,,circa,38.1,-122.72,area,expedition-leg,overland,Route north through Marin. Approximate — following the natural corridor through the Novato gap toward Petaluma Creek and the coast.,,,Exact route not specified in diary abstract.,
bodega-ross-corridor,rbodega-5-petaluma-creek-estuary,,Petaluma Creek / Estuary,,,circa,38.23,-122.88,area,expedition-leg,overland,Likely crossed or followed Petaluma Creek toward the coast. Natural route from interior Marin to Bodega Bay.,,,Route reconstruction based on geography.,
bodega-ross-corridor,rbodega-6-bodega-bay,,Bodega Bay,,,circa,38.31,-122.98,area,expedition-leg,overland,Arrived at Bodega Bay. Found an American ship and Alaskan Indians (Aleut hunters working for the Russian-American Company). 10-day reconnaissance of the area. Wrote a diary of the expedition.,,,"Langelier & Rosen: 'finds an American ship and Alaskan Indians.' Diary: Prov. St. Pap., XII, 276–79.",
bodega-ross-corridor,rbodega-7-return-to-presidio,,Return to Presidio,,,circa,37.7862,-122.4572,area,expedition-leg,overland,Returns after 10 days. Report confirms Russian presence and fur-hunting operations at Bodega.,,,,
bodega-ross-corridor,rross1812-1-presidio-of-san-francisco,,Presidio of San Francisco,,,circa,37.7862,-122.4572,area,expedition-leg,overland,"July 1812. Argüello sends Moraga with 4 men to investigate construction of a small Russian fort on the Sonoma coast. Fort Ross had been dedicated Sept. 10, 1812 — but Kuskov had been building since spring.",,,"Langelier & Rosen, Ch. 3.",
bodega-ross-corridor,rross1812-2-bay-crossing-to-marin,,Bay Crossing — to Marin,,,circa,37.81,-122.427,area,crossing,overland,Crossed the bay to the Marin shore.,,,,
bodega-ross-corridor,rross1812-3-san-rafael-area,,San Rafael Area,,,circa,37.9735,-122.5311,area,expedition-leg,overland,Through future Mission San Rafael site. Moraga's repeated passage through here informed his later recommendation of the site.,,,,
bodega-ross-corridor,rross1812-4-petaluma-creek-area,,Petaluma Creek Area,,,circa,38.23,-122.88,area,expedition-leg,overland,North through Marin toward the coast. Approximate route.,,,,
bodega-ross-corridor,rross1812-5-bodega-bay,,Bodega Bay,,,circa,38.31,-122.98,area,expedition-leg,overland,Passed through or near Bodega Bay en route to Fort Ross.,,,,
bodega-ross-corridor,rross1812-6-fort-ross,,Fort Ross,,,circa,38.5133,-123.2442,area,expedition-leg,overland,Moraga identifies the Russian settlement: a brigantine-anchored base with a 150-yard-square stockade and cannon. Notes the Russians' friendly manner. Fort Ross had been dedicated by Kuskov with 95 Russians and ~80 Aleut hunters.,,,Langelier & Rosen: '150-yard-square stockade and cannon; notes the Russians' friendly manner.',
bodega-ross-corridor,rross1812-7-return-to-presidio,,Return to Presidio,,,circa,37.7862,-122.4572,area,expedition-leg,overland,Returns to SF. Report filed with Argüello.,,,,
bodega-ross-corridor,rross1813-1-presidio-of-san-francisco,,Presidio of San Francisco,,,circa,37.7862,-122.4572,area,expedition-leg,overland,January 1813. Moraga drives 20 cattle and 3 horses to Fort Ross — practical diplomacy. Returns again in 1814 with Cadet Gervasio Argüello.,,,"Langelier & Rosen, Ch. 3.",
bodega-ross-corridor,rross1813-2-bay-crossing-to-marin,,Bay Crossing — to Marin,,,circa,37.81,-122.427,area,crossing,overland,Crossed bay to Marin shore with livestock.,,,,
bodega-ross-corridor,rross1813-3-san-rafael-area,,San Rafael Area,,,circa,37.9735,-122.5311,area,expedition-leg,overland,"Through future mission site, driving cattle north.",,,,
bodega-ross-corridor,rross1813-4-bodega-bay-area,,Bodega Bay Area,,,circa,38.31,-122.98,area,expedition-leg,overland,Through Bodega country toward Fort Ross.,,,,
bodega-ross-corridor,rross1813-5-fort-ross,,Fort Ross,,,circa,38.5133,-123.2442,area,expedition-leg,overland,"Jan. 1813: Delivered 20 cattle, 3 horses as goodwill gesture. 1814 return: accompanied by Cadet Gervasio Argüello. Wrote a report describing 40 gente de razón and many Kodiak Indians, cannon, glass windows in the commandant's house. Also carried official demands for Russian withdrawal.",,,"Langelier & Rosen: '40 gente de razón and many Kodiak Indians, cannon guarding the place, and glass windows in the commandant's house.'",
bodega-ross-corridor,rross1813-6-return-to-presidio,,Return to Presidio,,,circa,37.7862,-122.4572,area,expedition-leg,overland,Returns to SF Presidio.,,,,
borderlands-frontier,golden-gate-crossing-borrowed-launches,,Golden Gate Crossing — Borrowed Launches,1793-08-01,"August 1–2, 1793",exact,37.813,-122.478,place,event,spanMil,32 horses ferried across the Golden Gate using launches borrowed from visiting San Blas frigates Princesa and Aranzazu. Spain cannot cross its own bay without foreign ships.,Spain depends on visiting vessels to cross its own frontier,,C-A 14 p. 113. Arrillaga.,
borderlands-frontier,goycoechea-s-overland-expedition-to-bodega,,Goycoechea's Overland Expedition to Bodega,1793-08-05,"August 5–14, 1793",exact,38.33,-123.05,place,event,spanMil,"10 soldiers + sergeant march overland from SF via Bolinas and Tomales Bay to Bodega. Coast Miwok direct them to harder western route — later admitted ""deceived."" Territory 45 miles north of SF is ""tierra incognita.""","""Tierra incognita"" — Spain's own governor admits unknown territory",,Wagner 1931:342–345; C-A 14 p. 113.,
borderlands-frontier,moraga-s-1st-interior-expedition,,Moraga's 1st Interior Expedition,1806,September–October 1806,range,38.58,-121.49,place,event,spanMil,"First major Central Valley expedition. Named the Sacramento River. 30+ stops, 17 villages contacted. No permanent occupation.",Reconnaissance only — a round trip,,Cook 1960; gabriel-moraga-military-campaigns.,
borderlands-frontier,moraga-s-2nd-expedition-sacramento-valley,,Moraga's 2nd Expedition — Sacramento Valley,1808,September–October 1808,range,38.7,-121.55,place,event,spanMil,"Second interior campaign. Again, a round trip.",,,Cutter 1957.,
borderlands-frontier,battle-of-suisun,,Battle of Suisun,1810-05-22,"May 22, 1810",exact,38.063,-122.226,place,event,spanMil,"17 men cross Carquinez Strait by boat to attack Suisun ranchería. Suisun had killed 16 Christians over prior 3 years. Hard fight — survivors in huts preferred to ""perish in the flames"" rather than surrender. Moraga received royal commendations.",Spanish tactical victory at the frontier chokepoint,,C-A 12; C-A 25; Bancroft II:91 fn.24.,
borderlands-frontier,moraga-investigates-russian-bodega,,Moraga Investigates Russian Bodega,1810,September–October 1810,range,38.34,-123.04,place,event,spanMil,"Moraga goes by boat to Bodega. Finds 40+ Aleut hunting canoes, Russian supply ships at anchor. Reconnaissance, no confrontation. Protests to commandant.",Round trip — reconnaissance only,,C-A 12; gabriel-moraga-military-campaigns.,
borderlands-frontier,moraga-discovers-fort-ross,,Moraga Discovers Fort Ross,1812,August–September 1812,range,38.517,-123.248,place,event,spanMil,"Moraga with 4 soldiers investigates grounded vessel. Discovers Fort Ross: ~80 men, Kuskov commanding, all from Unalaska/Kamchatka. Vessel 8 leagues above Bodega. No opposition.",Discovery — no confrontation possible,,C-A 12; gabriel-moraga-military-campaigns.,
borderlands-frontier,moraga-s-fort-ross-defense-assessment,,Moraga's Fort Ross Defense Assessment,1814-07-30,"July 30, 1814",exact,38.52,-123.24,place,event,spanMil,"40 Russians, 80 Aleuts, 12 guns (4-pounder), 3 falconets. Spanish troops: ""no shirts, no pants, no hats."" The most damning comparison in the archive.",Russians armed and supplied; Spanish naked,,gabriel-moraga-military-campaigns.,
borderlands-frontier,arguello-s-northern-expedition,,Argüello's Northern Expedition,1821-10,October 1821,month,38.07,-122.22,place,event,spanMil,55 men — one of the largest Spanish/Mexican expeditions in CA history. Two full days spent ferrying horses across Carquinez Strait with 4 assembled boats. A power that needs a weekend to cross a channel does not control the territory beyond it.,Two days to cross the Strait — not an empire moving through its own territory,,"Ordaz, Diario, 1821, MS. Bancroft II:444–446.",
borderlands-frontier,colnett-s-argonaut-at-bodega,,Colnett's Argonaut at Bodega,1790-07,July 1790,month,38.325,-123.055,place,event,british,"British ship takes refuge during storm — cuts spars, makes repairs. Later misidentified by Spanish as active English threat. Ghost presence that haunted Spanish intelligence for years.",,,Wagner 1931:337–338.,
borderlands-frontier,vancouver-s-1st-visit-to-san-francisco,,Vancouver's 1st Visit to San Francisco,1792-11-14,"November 14, 1792",exact,37.789,-122.455,place,event,british,"HMS Discovery and Chatham anchor at SF. Warm reception from Commandant Sal. Menzies walks to Fort Point — finds one cannon ""lash'd to a log of Wood."" British see the weakness firsthand.",British assess SF defenses — one burst cannon,,Menzies 1924:265; C-A 54 pp. 115–118.,
borderlands-frontier,english-at-bodega-con-los-canones-en-tierra,,"English at Bodega ""con los cañones en tierra""",1793,"March 15, 1793 (reported)",circa,38.328,-123.06,place,event,british,"Arrillaga reports an English vessel anchored at Bodega with ""cannons on land."" Identity uncertain — Colnett traces? New vessel? Rumor? Same year as Spanish Bodega failure.",Foreign military presence in territory Spain cannot reach,,C-A 14 pp. 93–94.,
borderlands-frontier,menzies-lands-at-tomales-bay,,Menzies Lands at Tomales Bay,1793-10-20,"October 20, 1793",exact,38.225,-122.935,place,event,british,"Menzies lands from Vancouver's ship. Finds cross made from cask stave, horse tracks from Goycoechea's expedition. Coast Miwok calling ""Amico,"" speaking Spanish, pointing up lagoon repeating ""Spaniard."" British find Spanish traces in territory Spain couldn't hold.",British find evidence of failed Spanish expedition,,Menzies 1924:301–304.,
borderlands-frontier,vancouver-s-2nd-visit-concealment-policy,,Vancouver's 2nd Visit — Concealment Policy,1793-10-21,"October 21, 1793",exact,37.793,-122.45,place,event,british,"Dramatic change from 1st visit. Armed guards, 2-mile limit, refused access to mission. But 8 new brass 4-pounders visible on beach, workers building battery. Spain scrambles to hide weakness and show strength simultaneously.",Concealment policy — Spain hides its defenses from the one power that matters,,Menzies 1924:305–306; C-A 14 pp. 98–99.,
borderlands-frontier,zuniga-shows-bodega-plans-to-british-no-concealm,,Zúñiga Shows Bodega Plans to British — No Concealment,1793-11,November 1793,month,32.72,-117.17,place,event,british,San Diego commandant Zúñiga freely shows Bodega harbor plans to British officers. No concealment at all — contradicts the tight security at SF. The policy was inconsistent.,Concealment policy fails at San Diego,,Menzies 1924:335.,
borderlands-frontier,english-launches-at-santa-cruz,,English Launches at Santa Cruz,1794-11-28,"November 28, 1794",exact,36.978,-122.03,place,event,british,"English launches spotted off Santa Cruz coast, withdrew. Sgt. Pedro Amador sent as reinforcement. Soldier Mesa punished for misreporting.",English probe — withdrew,,"C-A 7, n33, pp. 81–2.",
borderlands-frontier,english-shipwreck-at-point-reyes-farallones,,English Shipwreck at Point Reyes / Farallones,1797,1797,year,38.07,-122.96,place,event,british,Ship sinks near Farallones. Indigenous informants report two uniformed Englishmen at Point Reyes. English naval presence at the Bay entrance during wartime. The report comes through indigenous intelligence networks.,English at the Bay entrance — indigenous networks provide the warning,,"C-A 8; ca8-prov-state-papers-xiv-xv-survey, Find #3.",
borderlands-frontier,english-vessel-at-santa-cruz,,English Vessel at Santa Cruz,1797,1797,year,36.97,-122.035,place,event,british,"English ship arrives at Santa Cruz port, 60 miles from SF Bay. Vallejo coordinates with alcalde — no military officer available. Thin defense exposed.",No military response possible,,"C-A 8; ca8-prov-state-papers-xiv-xv-survey, Find #4.",
borderlands-frontier,english-corsair-campaign-gulf-of-california,,English Corsair Campaign — Gulf of California,1799,May–September 1799,range,28.0,-111.0,place,event,british,"4 English frigates (22–24 guns each) raided Gulf of California shipping. Ransomed ships, captured brigs. Governor Arrillaga: ""sin ningunos elementos de defensa."" Maritime reinforcement route to California contested.",English naval dominance — supply route threatened,,C-A 14; english-corsair-campaign-1799.,
